Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,3645
FINANCEINSURANCE,4111
REALESTATERENTAL,9499
SCIENTIFICTECHNICAL,4064
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,10529
EDUCATION,1260
HEALTHCARE,108072
ART,4524
FOOD,18882
OTHER,8817
