Age,Number
AGE_0_9,198458
AGE_10_19,194110
AGE_20_29,225085
AGE_30_39,200605
AGE_40_49,173548
AGE_50_59,177253
AGE_60_69,132413
AGE_70_79,77857
AGE_80,47727
