Age,Number
AGE_0_9,258711
AGE_10_19,241674
AGE_20_29,315141
AGE_30_39,344215
AGE_40_49,298859
AGE_50_59,312333
AGE_60_69,255440
AGE_70_79,149109
AGE_80,95494
