cases_week
215.0
271.0
608.0
1641.0
3119.0
5375.0
2966.0
2850.0
2114.0
600.0
146.0
699.0
1490.0
1511.0
1000.0
1125.0
9055.0
21527.0
1099.0
939.0
3111.0
4204.0
2975.0
4461.0
2339.0
1732.0
1421.0
