,,,,,,,,,,,,
,Tract Code,Tract Population,Tract Minority %,Number of Families,# of House- holds,Non-Hisp White Population,Tract Minority Population,American Indian Pop- ulation,Asian/ Hawaiian/ Pacific Islander Population,Black Pop- ulation,Hispanic Population,Other Population/ Two or More Races
,201.01,3841,67.07,476,1625,1265,2576,26,864,264,1212,210
,201.02,3081,73.94,340,1445,803,2278,24,568,299,1230,157
,202.01,2494,58.38,216,1177,1038,1456,4,520,122,656,154
,202.02,3914,57.00,895,2111,1683,2231,12,877,227,879,236
,203.00,3624,41.36,446,2130,2125,1499,7,677,71,511,233
,204.01,3235,33.72,488,1557,2144,1091,5,497,40,318,231
,204.02,4547,41.04,895,2455,2681,1866,9,791,130,590,346
,205.00,2663,32.52,552,1295,1797,866,0,352,43,271,200
,206.01,2906,35.75,441,1454,1867,1039,7,397,64,346,225
,206.02,2272,30.41,574,1289,1581,691,0,297,35,209,150
,207.01,2987,38.80,443,1329,1828,1159,2,375,72,472,238
,207.02,2520,45.63,483,1132,1370,1150,1,453,48,439,209
,208.01,3618,66.36,466,1509,1217,2401,19,630,82,1484,186
,208.02,3143,70.41,307,1175,930,2213,10,502,63,1494,144
,209.00,4296,66.41,782,1754,1443,2853,3,648,99,1830,273
,210.00,4213,42.94,734,1943,2404,1809,0,644,76,810,279
,211.00,4111,32.18,844,1943,2788,1323,5,555,58,405,300
,212.00,3015,32.47,743,1477,2036,979,4,400,31,269,275
,213.00,2652,34.46,572,1210,1738,914,2,377,26,235,274
,214.00,3404,32.67,707,1737,2292,1112,1,455,38,391,227
,215.00,5237,41.42,1179,2365,3068,2169,5,794,66,851,453
,216.00,4403,45.81,870,1989,2386,2017,7,928,187,548,347
,217.00,4222,48.86,1152,1822,2159,2063,9,871,316,530,337
,218.00,4091,36.59,846,1773,2594,1497,1,506,74,562,354
,226.00,5001,51.95,691,1721,2403,2598,9,1464,191,538,396
,227.02,2194,39.38,494,1002,1330,864,7,373,43,262,179
,227.04,3734,39.72,744,1505,2251,1483,5,728,69,313,368
,228.01,4956,60.53,1008,1780,1956,3000,8,739,179,1801,273
,228.02,1975,62.84,362,747,734,1241,2,449,85,561,144
,228.03,4380,63.97,689,1461,1578,2802,5,564,76,1931,226
,229.01,4275,72.26,878,1445,1186,3089,2,450,177,2289,171
,229.02,2283,66.62,435,738,762,1521,7,310,53,1024,127
,229.03,3007,62.72,420,1085,1121,1886,5,431,68,1214,168
,230.01,5412,94.57,993,1269,294,5118,11,3637,533,820,117
,230.03,4143,89.60,880,1208,431,3712,19,1967,621,949,156
,231.02,3377,92.15,710,1147,265,3112,14,577,1662,642,217
,231.03,4901,96.80,935,1309,157,4744,24,997,2431,940,352
,232.00,4987,90.84,843,1195,457,4530,28,924,1278,2061,239
,233.00,4369,92.77,882,1259,316,4053,9,2376,558,964,146
,234.00,4110,94.79,823,1063,214,3896,3,1212,1019,1464,198
,251.00,3364,45.96,738,1289,1818,1546,8,518,119,654,247
,252.00,5164,44.91,1199,2279,2845,2319,4,665,100,1124,426
,253.00,4412,50.14,913,1733,2200,2212,0,702,70,1148,292
,254.01,3331,58.18,859,1379,1393,1938,6,421,147,1130,234
,254.02,2869,58.73,810,1170,1184,1685,5,690,84,692,214
,254.03,4430,72.69,1011,1340,1210,3220,10,1242,310,1425,233
,255.01,3606,79.23,899,1192,749,2857,0,1602,79,1005,171
,255.02,4354,78.53,926,1297,935,3419,9,1803,55,1345,207
