,,,,,,,,,,,
Tract Code,Tract Income Level,"Distressed or Under 
-served Tract",Tract Median Family Income %,2023 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2023 Est. Tract Median Family Income,2020 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units
310.00,Middle,No,117.69,"$ 1,73,200","$ 2,03,839","$ 1,68,919",4192,58.64,2458,1074,1305
311.00,Upper,No,121.59,"$ 1,73,200","$ 2,10,594","$ 1,74,519",6305,57.94,3653,1542,2268
312.01,Moderate,No,69.67,"$ 1,73,200","$ 1,20,668","$ 1,00,000",6064,84.61,5131,1146,1813
312.02,Moderate,No,60.58,"$ 1,73,200","$ 1,04,925","$ 86,950",3051,87.94,2683,555,860
313.01,Middle,No,82.15,"$ 1,73,200","$ 1,42,284","$ 1,17,917",3786,79.79,3021,1402,1677
313.02,Moderate,No,60.77,"$ 1,73,200","$ 1,05,254","$ 87,230",5673,87.18,4946,1237,1406
314.01,Moderate,No,56.17,"$ 1,73,200","$ 97,286","$ 80,625",2942,94.66,2785,410,722
314.02,Middle,No,81.86,"$ 1,73,200","$ 1,41,782","$ 1,17,500",4287,88.10,3777,1064,1332
326.01,Middle,No,91.12,"$ 1,73,200","$ 1,57,820","$ 1,30,795",4412,66.16,2919,680,1580
326.02,Middle,No,104.22,"$ 1,73,200","$ 1,80,509","$ 1,49,583",4289,68.27,2928,838,1456
327.00,Middle,No,109.99,"$ 1,73,200","$ 1,90,503","$ 1,57,869",6472,67.14,4345,1811,2596
328.01,Moderate,No,73.85,"$ 1,73,200","$ 1,27,908","$ 1,06,000",4234,72.32,3062,785,1374
328.02,Middle,No,91.47,"$ 1,73,200","$ 1,58,426","$ 1,31,295",4097,72.37,2965,930,1409
329.01,Middle,No,94.30,"$ 1,73,200","$ 1,63,328","$ 1,35,347",5015,73.40,3681,1245,1671
329.02,Moderate,No,77.21,"$ 1,73,200","$ 1,33,728","$ 1,10,823",3850,73.92,2846,1123,1465
330.01,Middle,No,80.61,"$ 1,73,200","$ 1,39,617","$ 1,15,703",3893,68.64,2672,1126,1525
330.02,Middle,No,117.16,"$ 1,73,200","$ 2,02,921","$ 1,68,167",4021,63.37,2548,891,1325
331.00,Middle,No,103.63,"$ 1,73,200","$ 1,79,487","$ 1,48,750",4025,67.70,2725,1104,1466
332.01,Middle,No,81.07,"$ 1,73,200","$ 1,40,413","$ 1,16,357",1729,67.96,1175,0,26
332.03,Moderate,No,71.97,"$ 1,73,200","$ 1,24,652","$ 1,03,309",4003,69.77,2793,110,687
332.04,Moderate,No,56.72,"$ 1,73,200","$ 98,239","$ 81,413",3839,69.91,2684,0,485
351.01,Middle,No,97.03,"$ 1,73,200","$ 1,68,056","$ 1,39,266",3551,61.42,2181,680,1387
351.02,Middle,No,102.70,"$ 1,73,200","$ 1,77,876","$ 1,47,404",4252,73.47,3124,1043,1335
352.01,Moderate,No,78.65,"$ 1,73,200","$ 1,36,222","$ 1,12,887",5288,63.58,3362,1337,1757
352.02,Moderate,No,78.73,"$ 1,73,200","$ 1,36,360","$ 1,13,000",4353,57.57,2506,644,1312
353.00,Middle,No,93.84,"$ 1,73,200","$ 1,62,531","$ 1,34,698",7360,74.55,5487,1820,2576
354.00,Middle,No,84.78,"$ 1,73,200","$ 1,46,839","$ 1,21,691",6696,67.41,4514,1756,2028
401.00,Middle,No,96.80,"$ 1,73,200","$ 1,67,658","$ 1,38,938",4417,48.63,2148,551,1283
402.00,Upper,No,163.46,"$ 1,73,200","$ 2,83,113","$ 2,34,611",5539,53.01,2936,1154,1828
426.01,Middle,No,81.67,"$ 1,73,200","$ 1,41,452","$ 1,17,222",3917,54.28,2126,532,1467
426.02,Upper,No,141.96,"$ 1,73,200","$ 2,45,875","$ 2,03,750",3469,50.33,1746,511,1144
427.00,Moderate,No,75.61,"$ 1,73,200","$ 1,30,957","$ 1,08,528",5496,57.71,3172,686,1670
428.00,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2433,33.99,827,640,941
451.00,Upper,No,140.04,"$ 1,73,200","$ 2,42,549","$ 2,01,002",5048,57.03,2879,639,1340
452.01,Upper,No,129.37,"$ 1,73,200","$ 2,24,069","$ 1,85,682",3368,56.12,1890,612,1163
452.02,Middle,No,109.37,"$ 1,73,200","$ 1,89,429","$ 1,56,985",3405,58.15,1980,237,1112
476.00,Middle,No,118.50,"$ 1,73,200","$ 2,05,242","$ 1,70,086",5302,60.66,3216,947,2190
477.01,Middle,No,81.47,"$ 1,73,200","$ 1,41,106","$ 1,16,932",4435,62.50,2772,757,1589
477.02,Middle,No,108.32,"$ 1,73,200","$ 1,87,610","$ 1,55,474",3823,60.63,2318,669,1177
478.01,Middle,No,97.91,"$ 1,73,200","$ 1,69,580","$ 1,40,536",4140,62.51,2588,918,1419
478.02,Middle,No,82.98,"$ 1,73,200","$ 1,43,721","$ 1,19,107",3786,64.90,2457,565,1157
479.02,Middle,No,111.63,"$ 1,73,200","$ 1,93,343","$ 1,60,227",3691,55.27,2040,705,1152
479.03,Middle,No,104.72,"$ 1,73,200","$ 1,81,375","$ 1,50,306",3782,58.09,2197,751,1329
479.04,Moderate,No,59.75,"$ 1,73,200","$ 1,03,487","$ 85,771",3026,53.73,1626,657,1069
601.00,Upper,No,155.89,"$ 1,73,200","$ 2,70,001","$ 2,23,750",3690,32.79,1210,30,1063
604.00,Moderate,No,53.19,"$ 1,73,200","$ 92,125","$ 76,354",2325,52.30,1216,131,136
605.02,Low,No,26.23,"$ 1,73,200","$ 45,430","$ 37,656",3214,96.14,3090,229,462
607.01,Upper,No,131.98,"$ 1,73,200","$ 2,28,589","$ 1,89,436",8610,64.01,5511,714,63
607.02,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,3142,70.31,2209,211,0
607.03,Upper,No,141.04,"$ 1,73,200","$ 2,44,281","$ 2,02,438",5680,69.33,3938,986,84
610.00,Moderate,No,53.48,"$ 1,73,200","$ 92,627","$ 76,765",5044,88.22,4450,1129,1144
611.01,Low,No,20.53,"$ 1,73,200","$ 35,558","$ 29,479",2008,90.79,1823,73,77
611.02,Low,No,19.83,"$ 1,73,200","$ 34,346","$ 28,464",2443,97.79,2389,76,65
612.00,Moderate,No,50.29,"$ 1,73,200","$ 87,102","$ 72,188",4166,89.46,3727,473,1141
614.01,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,3336,57.82,1929,652,1198
614.02,Upper,No,121.68,"$ 1,73,200","$ 2,10,750","$ 1,74,643",2545,55.01,1400,661,610
615.01,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2106,46.82,986,741,264
615.02,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2454,51.51,1264,271,190
615.03,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",4039,64.62,2610,465,147
615.04,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2246,60.82,1366,222,0
615.05,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",1051,62.61,658,314,0
615.06,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",4452,61.68,2746,1564,1
615.07,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,1738,65.77,1143,47,0
615.08,Upper,No,166.47,"$ 1,73,200","$ 2,88,326","$ 2,38,933",2507,57.36,1438,383,62
9802.00,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,79,41.77,33,0,0
9803.00,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,284,60.56,172,0,17
9804.01,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,0,0.00,0,0,0
9805.01,Low,No,13.23,"$ 1,73,200","$ 22,914","$ 19,000",125,100.00,125,0,0
9806.00,Middle,No,97.66,"$ 1,73,200","$ 1,69,147","$ 1,40,179",1340,80.15,1074,200,247
9809.00,Upper,No,147.53,"$ 1,73,200","$ 2,55,522","$ 2,11,750",1248,66.27,827,10,34
9901.00,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,0,0.00,0,0,0
9902.00,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,0,0.00,0,0,0
