Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,4747
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,14182
FINANCEINSURANCE,17101
REALESTATERENTAL,18848
SCIENTIFICTECHNICAL,22414
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,39664
EDUCATION,6827
HEALTHCARE,229944
ART,10782
FOOD,54847
OTHER,21666
