geo_value,time_value,cases,cases_monthly_avg,deaths,deaths_monthly_avg,cases_per_100K,deaths_per_100K
10310,2022-01-08,970.0,718.0,,,4137.9,
10310,2022-01-15,365.0,755.0,,,1557.1,
10310,2022-01-22,184.0,654.0,,,784.9,
10310,2022-01-29,70.0,397.0,,,298.6,
10310,2022-02-05,41.0,165.0,,,174.9,
10310,2022-02-12,22.0,79.0,,,93.8,
10310,2022-02-19,28.0,40.0,,,119.5,
10310,2022-02-26,11.0,26.0,,,46.9,
10310,2022-03-05,13.0,18.0,,,55.5,
10310,2022-03-12,13.0,16.0,,,55.5,
10310,2022-03-19,14.0,13.0,,,59.7,
10310,2022-03-26,13.0,13.0,,,55.5,
10310,2022-04-02,31.0,18.0,,,132.2,
10310,2022-04-09,30.0,22.0,,,128.0,
10310,2022-04-16,37.0,28.0,,,157.8,
10310,2022-04-23,35.0,33.0,,,149.3,
10310,2022-04-30,53.0,39.0,,,226.1,
10310,2022-05-07,70.0,49.0,,,298.6,
10310,2022-05-14,124.0,70.0,,,529.0,
10310,2022-05-21,105.0,88.0,,,447.9,
10310,2022-05-28,94.0,98.0,,,401.0,
10310,2022-06-04,96.0,105.0,,,409.5,
10310,2022-06-11,90.0,96.0,,,383.9,
10310,2022-06-18,76.0,89.0,,,324.2,
10310,2022-06-25,62.0,81.0,,,264.5,
10310,2022-07-02,66.0,74.0,,,281.6,
10310,2022-07-09,96.0,75.0,,,409.5,
10310,2022-07-16,94.0,80.0,,,401.0,
10310,2022-07-23,96.0,88.0,,,409.5,
10310,2022-07-30,89.0,94.0,,,379.7,
10310,2022-08-06,81.0,90.0,,,345.5,
10310,2022-08-13,56.0,80.0,,,238.9,
10310,2022-08-20,63.0,72.0,,,268.8,
10310,2022-08-27,35.0,59.0,,,149.3,
10310,2022-09-03,39.0,48.0,,,166.4,
10310,2022-09-10,45.0,46.0,,,192.0,
10310,2022-09-17,48.0,42.0,,,204.8,
10310,2022-09-24,44.0,44.0,,,187.7,
10310,2022-10-01,63.0,50.0,,,268.8,
10310,2022-10-08,46.0,50.0,,,196.2,
10310,2022-10-15,72.0,56.0,,,307.1,
