soc_id,soc_code
354,27-2012.05
355,27-2021.00
356,27-2022.00
357,27-2023.00
358,27-2031.00
359,27-2032.00
360,27-2041.00
361,27-2042.00
362,27-2091.00
363,27-3011.00
364,27-3023.00
365,27-3031.00
366,27-3041.00
367,27-3042.00
368,27-3043.00
369,27-3043.05
370,27-3091.00
371,27-3092.00
372,27-4011.00
373,27-4012.00
374,27-4014.00
375,27-4015.00
376,27-4021.00
377,27-4031.00
378,27-4032.00
379,29-1011.00
380,29-1021.00
381,29-1022.00
382,29-1023.00
383,29-1024.00
384,29-1031.00
385,29-1041.00
386,29-1051.00
387,29-1071.00
388,29-1071.01
389,29-1081.00
390,29-1122.00
391,29-1122.01
392,29-1123.00
393,29-1124.00
394,29-1125.00
395,29-1126.00
396,29-1127.00
397,29-1128.00
398,29-1129.01
399,29-1129.02
400,29-1131.00
401,29-1141.00
402,29-1141.01
403,29-1141.02
404,29-1141.03
405,29-1141.04
406,29-1151.00
407,29-1161.00
408,29-1171.00
409,29-1181.00
410,29-1211.00
411,29-1212.00
412,29-1213.00
413,29-1214.00
414,29-1215.00
415,29-1216.00
416,29-1217.00
417,29-1218.00
418,29-1221.00
419,29-1222.00
420,29-1223.00
421,29-1224.00
422,29-1229.01
423,29-1229.02
424,29-1229.03
425,29-1229.04
426,29-1229.05
427,29-1229.06
428,29-1241.00
429,29-1242.00
430,29-1243.00
431,29-1291.00
432,29-1292.00
433,29-1299.01
434,29-1299.02
435,29-2011.00
436,29-2011.01
437,29-2011.02
438,29-2011.04
439,29-2012.00
440,29-2012.01
441,29-2031.00
442,29-2032.00
443,29-2033.00
444,29-2034.00
445,29-2035.00
446,29-2036.00
447,29-2042.00
448,29-2043.00
449,29-2051.00
450,29-2052.00
451,29-2053.00
452,29-2055.00
453,29-2056.00
454,29-2057.00
455,29-2061.00
456,29-2072.00
457,29-2081.00
458,29-2091.00
459,29-2092.00
460,29-2099.01
461,29-2099.05
462,29-2099.08
463,29-9021.00
464,29-9091.00
465,29-9092.00
466,29-9093.00
467,29-9099.01
468,31-1121.00
469,31-1122.00
470,31-1131.00
471,31-1132.00
472,31-1133.00
473,31-2011.00
474,31-2012.00
475,31-2021.00
476,31-2022.00
477,31-9011.00
478,31-9091.00
479,31-9092.00
480,31-9093.00
481,31-9094.00
482,31-9095.00
483,31-9096.00
484,31-9097.00
485,31-9099.01
486,31-9099.02
487,33-1011.00
488,33-1012.00
489,33-1021.00
490,33-1091.00
491,33-2011.00
492,33-2021.00
493,33-2022.00
494,33-3011.00
495,33-3012.00
496,33-3021.00
497,33-3021.02
498,33-3021.06
499,33-3031.00
500,33-3041.00
501,33-3051.00
502,33-3051.04
503,33-3052.00
504,33-9011.00
505,33-9021.00
506,33-9031.00
507,33-9032.00
508,33-9091.00
509,33-9092.00
510,33-9093.00
511,33-9094.00
512,33-9099.02
513,35-1011.00
514,35-1012.00
515,35-2011.00
516,35-2012.00
517,35-2013.00
