NTA2020,min_lon,min_lat,max_lon,max_lat
MN0102,-74.01637848291482,40.70981479577195,-73.99931241700145,40.725794151348296
MN0191,-74.04772962697074,40.682916945445164,-74.00069905841879,40.70483848543398
MN0201,-74.01520426531143,40.716231640713524,-73.99260322264499,40.729100682848205
MN0202,-74.00281726639143,40.724136449683456,-73.98986852139565,40.73736088939824
MN0203,-74.014390699324,40.728172107875025,-73.9968399392649,40.7424961875561
MN0301,-74.00156635613375,40.70798239694596,-73.98449647076752,40.71845742685291
MN0302,-73.99480778955251,40.70554241497244,-73.97357185719474,40.724136449683456
MN0303,-73.99260322264489,40.71796798139027,-73.96402617524582,40.734434790136916
MN0401,-74.01214813183593,40.73736088939824,-73.99141858560698,40.76267570735638
MN0402,-74.00375735037694,40.75470680500962,-73.98236354021938,40.77327539109308
MN0501,-73.99709902920391,40.734434790136916,-73.98085054416383,40.752190055267704
MN0502,-73.99346417736238,40.74775037037821,-73.96980028825635,40.76788119859833
MN0601,-73.98255629231735,40.723880300905556,-73.96200744799044,40.73688765936049
MN0602,-73.9899673403571,40.73135013455452,-73.97805226497614,40.743324718416616
MN0603,-73.98407485260152,40.72971116761504,-73.96051732602348,40.75211893738102
MN0604,-73.97834877041339,40.750112443750325,-73.9584911954165,40.76291351263026
MN0661,-73.96998692099173,40.746410425260635,-73.96412514486175,40.75268822334015
MN0701,-73.99624065189877,40.76738807417328,-73.97500111964057,40.781779681471825
MN0702,-73.98812746102568,40.777527779916724,-73.96417598587449,40.798273211195266
MN0703,-73.97639951996672,40.79236204502798,-73.9581729703774,40.80579013967674
MN0801,-73.96658338422257,40.74829406189575,-73.93552163065328,40.774283555075336
MN0802,-73.97301487176121,40.761550935576594,-73.94933170627075,40.787913924471084
MN0803,-73.9572941004381,40.77011515452164,-73.93759894622623,40.785193126557935
MN0901,-73.97110765852304,40.80115642375905,-73.9521012521537,40.818086330979206
MN0902,-73.9620310579599,40.81144285350155,-73.94607828674226,40.824317590707544
MN0903,-73.95914038203756,40.820827937097306,-73.93864026693869,40.83430311995836
MN1001,-73.95964685423122,40.79687199990546,-73.94177140170031,40.81144285350155
MN1002,-73.9521012521537,40.807089000349706,-73.93383000695911,40.83606490323916
MN1101,-73.95577735912323,40.78265616183588,-73.93505406057963,40.79812921756683
MN1102,-73.94831125454382,40.791557754806135,-73.92650954867304,40.81969749639624
MN1191,-73.93607064683123,40.78092032004216,-73.91378385370594,40.801998522743375
MN1201,-73.95021218560015,40.83045784284986,-73.93139355381945,40.85046552581792
MN1202,-73.9469644169341,40.847428231409886,-73.92463112107053,40.86984487074348
MN1203,-73.92872643202344,40.85566383573182,-73.91042644048507,40.87323663012786
MN1291,-73.94036875675955,40.83037198888075,-73.92227873064483,40.861593638252074
MN1292,-73.93220600531866,40.866741428221104,-73.91151516123254,40.8789639432433
MN6491,-73.98167943639396,40.764278879445236,-73.94923327082499,40.800582540954586
QN0101,-73.92398142938171,40.765858198110436,-73.88772988224954,40.790945493781926
QN0102,-73.93785811888885,40.76449075088256,-73.92398142938171,40.77810045373345
QN0103,-73.93215200275831,40.75396114233176,-73.9119402607033,40.77461511268893
QN0104,-73.92562743791541,40.752137244755446,-73.89854223111878,40.7690101531208
QN0105,-73.95083917142067,40.74842126364753,-73.92415700043728,40.77127064118709
QN0151,-73.89282283610936,40.785356620508495,-73.87078574017565,40.798750530357005
QN0161,-73.93609499043112,40.74941193315298,-73.90984318646106,40.753891590793934
QN0171,-73.90351227752767,40.75962789467847,-73.89432372021464,40.76741678384724
QN0191,-73.92827730832717,40.77461511268893,-73.91796581435896,40.78263506903906
QN0201,-73.96262015898662,40.737900123344765,-73.93663681891188,40.7552180836165
QN0202,-73.94594749665009,40.72593088310043,-73.9097114821918,40.7502234397344
QN0203,-73.91244853849251,40.73240075153355,-73.88725300804498,40.754153670436175
QN0261,-73.9441956161213,40.74288214593533,-73.90944330881075,40.751643345661485
QN0271,-73.91902180402965,40.72746652277254,-73.901079709003,40.74241368862203
QN0301,-73.89974327108595,40.74681172763671,-73.86942458603156,40.76691443436951
QN0302,-73.88772988224954,40.75663381606072,-73.854639957514,40.771870909278455
QN0303,-73.87365721778173,40.74915685152004,-73.85220450565855,40.75846615776617
QN0401,-73.89564469814476,40.727868828937964,-73.8645724864215,40.74915685152004
QN0402,-73.86942458603156,40.73428169011556,-73.8475557978607,40.752660682362745
QN0501,-73.92848591220327,40.71247825314401,-73.88163409052098,40.73519418444103
QN0502,-73.92404011334023,40.691589992037805,-73.88553214224856,40.71400831262894
QN0503,-73.90003039150348,40.69194920744682,-73.85252019054444,40.71337996141235
QN0504,-73.89423532472544,40.70645397777094,-73.86547610870318,40.730723958141226
QN0571,-73.90062644427873,40.71222318540798,-73.88684873624273,40.72389882212916
QN0572,-73.88938120611364,40.70629420165473,-73.87761134112596,40.712652573689496
QN0573,-73.87239171270998,40.70923187162324,-73.85963511297886,40.720280937752904
QN0574,-73.90188776254891,40.68233642247593,-73.8689176269075,40.702893433660364
QN0601,-73.87523717580798,40.71146767719102,-73.85625665102398,40.73593913931032
QN0602,-73.86203833849551,40.70639628822896,-73.82983328300575,40.739063915745525
QN0701,-73.86923491699645,40.76540987185305,-73.82245324232197,40.79850897068408
QN0702,-73.82703055978112,40.775610112295105,-73.79058300990513,40.80101146781903
QN0703,-73.80379022888098,40.773036086714626,-73.76675868631223,40.79174935379484
QN0704,-73.83159305701615,40.75773596895659,-73.79031516996666,40.78171963351061
QN0705,-73.82426493874497,40.74613858032792,-73.7945772699,40.76141702108615
QN0706,-73.8359507145917,40.737024482753476,-73.79629297291609,40.75183288858956
QN0707,-73.8467093366402,40.74783398879295,-73.81789245661682,40.77256002047347
QN0761,-73.78332043362684,40.78629656530389,-73.77063124537601,40.796725126736554
QN0791,-73.81430884847687,40.74193303565105,-73.79445281714156,40.75013658659016
QN0801,-73.83386267153111,40.715770834709055,-73.8078223181083,40.739833730704724
QN0802,-73.81523144845353,40.71599973406733,-73.79029346788487,40.73898684741753
QN0803,-73.8046674816674,40.72578885039571,-73.77010830656148,40.743367227473854
QN0804,-73.79363636669572,40.710711075424264,-73.75496919462795,40.730193275807046
QN0805,-73.8255786285764,40.70227287488048,-73.79070834449249,40.71926865202846
QN0871,-73.83710964190249,40.73055318900907,-73.82481178421759,40.743227984538585
QN0891,-73.7780376595688,40.72239270114449,-73.75677401980833,40.74584353402403
QN0901,-73.84314625301297,40.701389628798786,-73.81647531259802,40.715762608675234
QN0902,-73.84947763541673,40.68916262508458,-73.81372585817233,40.70421245233317
QN0903,-73.83810580041963,40.68484354688585,-73.81072587521027,40.69713209473231
QN0904,-73.86630263853499,40.679351640888974,-73.83595082841032,40.69129397943917
QN0905,-73.86868454370578,40.683186694603,-73.84496028134227,40.7007650848103
QN1001,-73.84012856127181,40.662792004256694,-73.80123390102175,40.69192242230341
QN1002,-73.86334943527028,40.66677318701448,-73.83334819203354,40.68335136684395
QN1003,-73.86317083340404,40.64779632917624,-73.8263924284449,40.67502126881543
QN1091,-73.86054077882481,40.64410150925737,-73.83592320139142,40.65973386475722
QN1101,-73.7972952469919,40.73832532619017,-73.77163811461403,40.77614122519179
QN1102,-73.78459339415322,40.744196938701265,-73.74680794619653,40.779095211065645
QN1103,-73.7555733264932,40.74285163247759,-73.71332542144886,40.78262726378284
QN1104,-73.76776278369914,40.72630578486401,-73.74019478446225,40.752028417998844
QN1191,-73.75919770463071,40.738440817761884,-73.73374471292944,40.76755197894436
QN1201,-73.81647531259802,40.69087385841379,-73.76844546516843,40.714261994083884
QN1202,-73.81072587521027,40.6829073178905,-73.77395659465941,40.70545525091697
QN1203,-73.80585668581124,40.666517526838184,-73.76974091326647,40.69102994294878
QN1204,-73.7894099942198,40.666451156607046,-73.75636239259674,40.683786275352766
QN1205,-73.7827707978102,40.674194981766064,-73.7435928608784,40.70963702715984
QN1206,-73.77712346906104,40.702909577938094,-73.75047058182726,40.72106344375453
QN1301,-73.72864941226216,40.72722708741331,-73.70000906321046,40.75973577037786
QN1302,-73.74673750308801,40.72308414028538,-73.71049995362073,40.750389075926
QN1303,-73.75944143007067,40.699553136832904,-73.72677759533504,40.73258322072933
QN1304,-73.74773012115597,40.68324108094635,-73.72579787942314,40.703481645589
QN1305,-73.76031464000941,40.666386820947416,-73.72718272427987,40.68589131900863
QN1306,-73.80214866502659,40.644371845789685,-73.73849170581623,40.668027620093284
QN1307,-73.75204902608294,40.63488103262077,-73.72498470712827,40.68359733001722
QN1371,-73.75001704350878,40.6824524461986,-73.73395424324887,40.68932218056846
QN1401,-73.77417184679703,40.590722826347076,-73.73798981846915,40.61430535183292
QN1402,-73.82524882706767,40.58126212745517,-73.76964469126663,40.6032555160798
QN1403,-73.93222204160377,40.55309344509845,-73.81408062432791,40.61523267951869
QN1491,-73.78926858096114,40.59607729926799,-73.77412897394218,40.60985322058966
QN8081,-73.8894548683754,40.76372861549118,-73.85504803073792,40.78603815075246
QN8191,-73.86093691422919,40.71431360528747,-73.81930469497848,40.76407442786312
QN8291,-73.870674218437,40.69473118624387,-73.83696237811037,40.7092234564188
QN8381,-73.83270533904125,40.619233847487415,-73.74693969946539,40.66540577261348
QN8491,-73.84350065697967,40.58903517184915,-73.76670827847363,40.63995407216309
QN8492,-73.94073545513231,40.541833960453076,-73.86267372829572,40.57605976175814
SI0101,-74.10090273204726,40.635485729659635,-74.06998354653898,40.648925552276076
SI0102,-74.08785147654521,40.61330697350439,-74.06802173543946,40.638293380107854
SI0103,-74.09055711282677,40.602143957656914,-74.05677181703112,40.62692902846888
SI0104,-74.12489167941098,40.60900115134166,-74.07972492243661,40.64557912880401
SI0105,-74.15368427535819,40.60768115356742,-74.09766008778841,40.63114772971063
SI0106,-74.14752619029798,40.62421616111206,-74.11683619550048,40.6418867974052
SI0107,-74.19620359550308,40.61234968213394,-74.14312802509042,40.6452687964781
SI0191,-74.10779778094033,40.638898966944616,-74.09956938929396,40.64574043220014
SI0201,-74.10525775474818,40.57788796906873,-74.05964120662084,40.60900115134166
SI0202,-74.12489904372397,40.5589534456225,-74.07601597043875,40.58593981066873
SI0203,-74.16982860126305,40.560111797637816,-74.09055711282677,40.611111177353116
SI0204,-74.2060284124267,40.570834448504066,-74.14002227327718,40.63468605023377
SI0291,-74.20058400025061,40.56109042060556,-74.16341992126897,40.60297776570782
SI0301,-74.14438744938825,40.547780065933345,-74.10009549232218,40.57640521917128
SI0302,-74.18073102660074,40.52729599283157,-74.13173622949463,40.57088958110747
SI0303,-74.22131562715538,40.541125401101546,-74.17185166522756,40.565494283166245
SI0304,-74.2267232892649,40.502533025041615,-74.15988277051045,40.55014768192963
SI0305,-74.25559136315213,40.496133987611834,-74.2056960509145,40.5585160056016
SI0391,-74.2132469734059,40.55587215686735,-74.17758036744722,40.580170000920354
SI9561,-74.06517091184837,40.59384861156726,-74.05222826954194,40.60789954008771
SI9591,-74.05489778210803,40.565318180621176,-74.04923629842045,40.58054875961445
SI9592,-74.10874017944533,40.5627316194612,-74.08469075991493,40.57400593940534
SI9593,-74.14062780663775,40.52928191888265,-74.11338340616277,40.557295172447766
