Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,6241
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,182079
FINANCEINSURANCE,330213
REALESTATERENTAL,84318
SCIENTIFICTECHNICAL,357631
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,278690
EDUCATION,26602
HEALTHCARE,284981
ART,70322
FOOD,258047
OTHER,102738
