Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,7007
FINANCEINSURANCE,19369
REALESTATERENTAL,13605
SCIENTIFICTECHNICAL,18383
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,44226
EDUCATION,4525
HEALTHCARE,155364
ART,9238
FOOD,55803
OTHER,21641
